parameter_shortname,parameter_name
37,"Flow, instantaneous m3/s"
37,"Flow, instantaneous m3/s"
37,"Flow, instantaneous m3/s"
37,"Flow, instantaneous m3/s"
37,"Flow, instantaneous m3/s"
38,Flow : Daily mean
38,Flow : Daily mean
38,Flow : Daily mean
38,Flow : Daily mean
38,Flow : Daily mean
38,Flow : Daily mean
38,Flow : Daily mean
38,Flow : Daily mean
39,Flow : Daily mean
39,Flow : Daily mean
39,Flow : Daily mean
39,Flow : Daily mean
39,Flow : Daily mean
39,Flow : Daily mean
39,Flow : Daily mean
39,Flow : Daily mean
39,Flow : Daily mean
39,Flow : Daily mean
39,Flow : Daily mean
45,Borehole : Water level wrt local datum
45,Borehole : Water level wrt local datum
45,Borehole : Water level wrt local datum
45,Borehole : Water level wrt local datum
50,Lead
50,Lead
50,Lead
50,Lead
50,Lead
50,Lead
50,Lead
50,Lead
50,Lead
50,Lead
50,Lead
50,Lead
50,Lead
50,Lead
50,Lead
50,Lead
50,Lead
50,Lead
50,Lead
50,Lead
50,Lead
52,"Lead, Dissolved"
52,"Lead, Dissolved"
52,"Lead, Dissolved"
52,"Lead, Dissolved"
52,"Lead, Dissolved"
52,"Lead, Dissolved"
52,"Lead, Dissolved"
52,"Lead, Dissolved"
52,"Lead, Dissolved"
52,"Lead, Dissolved"
52,"Lead, Dissolved"
52,"Lead, Dissolved"
52,"Lead, Dissolved"
52,"Lead, Dissolved"
52,"Lead, Dissolved"
52,"Lead, Dissolved"
52,"Lead, Dissolved"
52,"Lead, Dissolved"
52,"Lead, Dissolved"
52,"Lead, Dissolved"
52,"Lead, Dissolved"
61,pH
61,pH
61,pH
61,pH
61,pH
61,pH
61,pH
61,pH
61,pH
61,pH
61,pH
61,pH
61,pH
61,pH
61,pH
61,pH
61,pH
61,pH
61,pH
61,pH
61,pH
62,Conductivity at 20 C
62,Conductivity at 20 C
62,Conductivity at 20 C
62,Conductivity at 20 C
62,Conductivity at 20 C
62,Conductivity at 20 C
62,Conductivity at 20 C
62,Conductivity at 20 C
62,Conductivity at 20 C
62,Conductivity at 20 C
62,Conductivity at 20 C
62,Conductivity at 20 C
62,Conductivity at 20 C
62,Conductivity at 20 C
62,Conductivity at 20 C
62,Conductivity at 20 C
62,Conductivity at 20 C
62,Conductivity at 20 C
62,Conductivity at 20 C
62,Conductivity at 20 C
64,Odour : Threshold Number at 25 C
64,Odour : Threshold Number at 25 C
64,Odour : Threshold Number at 25 C
64,Odour : Threshold Number at 25 C
67,Transparency
67,Transparency
67,Transparency
67,Transparency
67,Transparency
67,Transparency
67,Transparency
67,Transparency
67,Transparency
67,Transparency
67,Transparency
67,Transparency
67,Transparency
67,Transparency
67,Transparency
67,Transparency
67,Transparency
67,Transparency
68,Turbidity
68,Turbidity
68,Turbidity
68,Turbidity
68,Turbidity
68,Turbidity
68,Turbidity
68,Turbidity
68,Turbidity
68,Turbidity
68,Turbidity
68,Turbidity
68,Turbidity
68,Turbidity
68,Turbidity
68,Turbidity
68,Turbidity
68,Turbidity
69,Colour
69,Colour
69,Colour
69,Colour
69,Colour
69,Colour
69,Colour
69,Colour
69,Colour
69,Colour
69,Colour
69,Colour
69,Colour
72,"Colour, Filtered"
72,"Colour, Filtered"
72,"Colour, Filtered"
72,"Colour, Filtered"
72,"Colour, Filtered"
72,"Colour, Filtered"
72,"Colour, Filtered"
72,"Colour, Filtered"
72,"Colour, Filtered"
72,"Colour, Filtered"
72,"Colour, Filtered"
72,"Colour, Filtered"
72,"Colour, Filtered"
72,"Colour, Filtered"
72,"Colour, Filtered"
72,"Colour, Filtered"
72,"Colour, Filtered"
72,"Colour, Filtered"
72,"Colour, Filtered"
72,"Colour, Filtered"
73,Cypermethrin
73,Cypermethrin
73,Cypermethrin
73,Cypermethrin
73,Cypermethrin
73,Cypermethrin
73,Cypermethrin
73,Cypermethrin
73,Cypermethrin
73,Cypermethrin
73,Cypermethrin
73,Cypermethrin
73,Cypermethrin
73,Cypermethrin
73,Cypermethrin
73,Cypermethrin
73,Cypermethrin
73,Cypermethrin
73,Cypermethrin
73,Cypermethrin
76,Temperature of Water
76,Temperature of Water
76,Temperature of Water
76,Temperature of Water
76,Temperature of Water
76,Temperature of Water
76,Temperature of Water
76,Temperature of Water
76,Temperature of Water
76,Temperature of Water
76,Temperature of Water
76,Temperature of Water
76,Temperature of Water
76,Temperature of Water
76,Temperature of Water
76,Temperature of Water
76,Temperature of Water
76,Temperature of Water
76,Temperature of Water
76,Temperature of Water
76,Temperature of Water
77,Conductivity at 25 C
77,Conductivity at 25 C
77,Conductivity at 25 C
77,Conductivity at 25 C
77,Conductivity at 25 C
77,Conductivity at 25 C
77,Conductivity at 25 C
77,Conductivity at 25 C
77,Conductivity at 25 C
77,Conductivity at 25 C
77,Conductivity at 25 C
77,Conductivity at 25 C
77,Conductivity at 25 C
77,Conductivity at 25 C
77,Conductivity at 25 C
81,"Oxygen, Dissolved, % Saturation : (Laboratory)"
81,"Oxygen, Dissolved, % Saturation : (Laboratory)"
83,"BOD : 5 Day ATU, Filtered"
83,"BOD : 5 Day ATU, Filtered"
83,"BOD : 5 Day ATU, Filtered"
83,"BOD : 5 Day ATU, Filtered"
83,"BOD : 5 Day ATU, Filtered"
83,"BOD : 5 Day ATU, Filtered"
85,BOD : 5 Day ATU
85,BOD : 5 Day ATU
85,BOD : 5 Day ATU
85,BOD : 5 Day ATU
85,BOD : 5 Day ATU
85,BOD : 5 Day ATU
85,BOD : 5 Day ATU
85,BOD : 5 Day ATU
85,BOD : 5 Day ATU
85,BOD : 5 Day ATU
85,BOD : 5 Day ATU
85,BOD : 5 Day ATU
85,BOD : 5 Day ATU
85,BOD : 5 Day ATU
85,BOD : 5 Day ATU
85,BOD : 5 Day ATU
85,BOD : 5 Day ATU
85,BOD : 5 Day ATU
85,BOD : 5 Day ATU
85,BOD : 5 Day ATU
85,BOD : 5 Day ATU
88,BOD : 5 Day
88,BOD : 5 Day
88,BOD : 5 Day
88,BOD : 5 Day
88,BOD : 5 Day
88,BOD : 5 Day
88,BOD : 5 Day
88,BOD : 5 Day
88,BOD : 5 Day
88,BOD : 5 Day
92,Chemical Oxygen Demand :- {COD}
92,Chemical Oxygen Demand :- {COD}
92,Chemical Oxygen Demand :- {COD}
92,Chemical Oxygen Demand :- {COD}
92,Chemical Oxygen Demand :- {COD}
92,Chemical Oxygen Demand :- {COD}
92,Chemical Oxygen Demand :- {COD}
92,Chemical Oxygen Demand :- {COD}
92,Chemical Oxygen Demand :- {COD}
92,Chemical Oxygen Demand :- {COD}
92,Chemical Oxygen Demand :- {COD}
92,Chemical Oxygen Demand :- {COD}
92,Chemical Oxygen Demand :- {COD}
92,Chemical Oxygen Demand :- {COD}
92,Chemical Oxygen Demand :- {COD}
92,Chemical Oxygen Demand :- {COD}
92,Chemical Oxygen Demand :- {COD}
92,Chemical Oxygen Demand :- {COD}
92,Chemical Oxygen Demand :- {COD}
92,Chemical Oxygen Demand :- {COD}
92,Chemical Oxygen Demand :- {COD}
97,Permanganate Value N/80 4 Hours
97,Permanganate Value N/80 4 Hours
97,Permanganate Value N/80 4 Hours
97,Permanganate Value N/80 4 Hours
97,Permanganate Value N/80 4 Hours
97,Permanganate Value N/80 4 Hours
97,Permanganate Value N/80 4 Hours
97,Permanganate Value N/80 4 Hours
97,Permanganate Value N/80 4 Hours
97,Permanganate Value N/80 4 Hours
97,Permanganate Value N/80 4 Hours
97,Permanganate Value N/80 4 Hours
97,Permanganate Value N/80 4 Hours
97,Permanganate Value N/80 4 Hours
97,Permanganate Value N/80 4 Hours
99,"Carbon, Organic, Total as C :- {TOC}"
99,"Carbon, Organic, Total as C :- {TOC}"
99,"Carbon, Organic, Total as C :- {TOC}"
99,"Carbon, Organic, Total as C :- {TOC}"
99,"Carbon, Organic, Total as C :- {TOC}"
99,"Carbon, Organic, Total as C :- {TOC}"
99,"Carbon, Organic, Total as C :- {TOC}"
99,"Carbon, Organic, Total as C :- {TOC}"
99,"Carbon, Organic, Total as C :- {TOC}"
99,"Carbon, Organic, Total as C :- {TOC}"
99,"Carbon, Organic, Total as C :- {TOC}"
99,"Carbon, Organic, Total as C :- {TOC}"
99,"Carbon, Organic, Total as C :- {TOC}"
99,"Carbon, Organic, Total as C :- {TOC}"
99,"Carbon, Organic, Total as C :- {TOC}"
99,"Carbon, Organic, Total as C :- {TOC}"
103,"Mercury, Dissolved"
103,"Mercury, Dissolved"
103,"Mercury, Dissolved"
103,"Mercury, Dissolved"
103,"Mercury, Dissolved"
103,"Mercury, Dissolved"
103,"Mercury, Dissolved"
103,"Mercury, Dissolved"
103,"Mercury, Dissolved"
103,"Mercury, Dissolved"
103,"Mercury, Dissolved"
103,"Mercury, Dissolved"
103,"Mercury, Dissolved"
103,"Mercury, Dissolved"
103,"Mercury, Dissolved"
103,"Mercury, Dissolved"
103,"Mercury, Dissolved"
103,"Mercury, Dissolved"
103,"Mercury, Dissolved"
103,"Mercury, Dissolved"
103,"Mercury, Dissolved"
105,Mercury
105,Mercury
105,Mercury
105,Mercury
105,Mercury
105,Mercury
105,Mercury
105,Mercury
105,Mercury
105,Mercury
105,Mercury
105,Mercury
105,Mercury
105,Mercury
105,Mercury
105,Mercury
105,Mercury
105,Mercury
105,Mercury
105,Mercury
105,Mercury
106,"Cadmium, Dissolved"
106,"Cadmium, Dissolved"
106,"Cadmium, Dissolved"
106,"Cadmium, Dissolved"
106,"Cadmium, Dissolved"
106,"Cadmium, Dissolved"
106,"Cadmium, Dissolved"
106,"Cadmium, Dissolved"
106,"Cadmium, Dissolved"
106,"Cadmium, Dissolved"
106,"Cadmium, Dissolved"
106,"Cadmium, Dissolved"
106,"Cadmium, Dissolved"
106,"Cadmium, Dissolved"
106,"Cadmium, Dissolved"
106,"Cadmium, Dissolved"
106,"Cadmium, Dissolved"
106,"Cadmium, Dissolved"
106,"Cadmium, Dissolved"
106,"Cadmium, Dissolved"
106,"Cadmium, Dissolved"
108,Cadmium
108,Cadmium
108,Cadmium
108,Cadmium
108,Cadmium
108,Cadmium
108,Cadmium
108,Cadmium
108,Cadmium
108,Cadmium
108,Cadmium
108,Cadmium
108,Cadmium
108,Cadmium
108,Cadmium
108,Cadmium
108,Cadmium
108,Cadmium
108,Cadmium
108,Cadmium
108,Cadmium
111,Ammoniacal Nitrogen as N
111,Ammoniacal Nitrogen as N
111,Ammoniacal Nitrogen as N
111,Ammoniacal Nitrogen as N
111,Ammoniacal Nitrogen as N
111,Ammoniacal Nitrogen as N
111,Ammoniacal Nitrogen as N
111,Ammoniacal Nitrogen as N
111,Ammoniacal Nitrogen as N
111,Ammoniacal Nitrogen as N
111,Ammoniacal Nitrogen as N
111,Ammoniacal Nitrogen as N
111,Ammoniacal Nitrogen as N
111,Ammoniacal Nitrogen as N
111,Ammoniacal Nitrogen as N
111,Ammoniacal Nitrogen as N
111,Ammoniacal Nitrogen as N
111,Ammoniacal Nitrogen as N
111,Ammoniacal Nitrogen as N
111,Ammoniacal Nitrogen as N
111,Ammoniacal Nitrogen as N
113,"Nitrogen, Organic as N"
113,"Nitrogen, Organic as N"
113,"Nitrogen, Organic as N"
113,"Nitrogen, Organic as N"
113,"Nitrogen, Organic as N"
113,"Nitrogen, Organic as N"
113,"Nitrogen, Organic as N"
114,"Nitrogen, Kjeldahl as N"
114,"Nitrogen, Kjeldahl as N"
114,"Nitrogen, Kjeldahl as N"
114,"Nitrogen, Kjeldahl as N"
114,"Nitrogen, Kjeldahl as N"
114,"Nitrogen, Kjeldahl as N"
114,"Nitrogen, Kjeldahl as N"
114,"Nitrogen, Kjeldahl as N"
114,"Nitrogen, Kjeldahl as N"
114,"Nitrogen, Kjeldahl as N"
116,"Nitrogen, Total Oxidised as N"
116,"Nitrogen, Total Oxidised as N"
116,"Nitrogen, Total Oxidised as N"
116,"Nitrogen, Total Oxidised as N"
116,"Nitrogen, Total Oxidised as N"
116,"Nitrogen, Total Oxidised as N"
116,"Nitrogen, Total Oxidised as N"
116,"Nitrogen, Total Oxidised as N"
116,"Nitrogen, Total Oxidised as N"
116,"Nitrogen, Total Oxidised as N"
116,"Nitrogen, Total Oxidised as N"
116,"Nitrogen, Total Oxidised as N"
116,"Nitrogen, Total Oxidised as N"
116,"Nitrogen, Total Oxidised as N"
116,"Nitrogen, Total Oxidised as N"
116,"Nitrogen, Total Oxidised as N"
116,"Nitrogen, Total Oxidised as N"
116,"Nitrogen, Total Oxidised as N"
116,"Nitrogen, Total Oxidised as N"
116,"Nitrogen, Total Oxidised as N"
116,"Nitrogen, Total Oxidised as N"
117,Nitrate as N
117,Nitrate as N
117,Nitrate as N
117,Nitrate as N
117,Nitrate as N
117,Nitrate as N
117,Nitrate as N
117,Nitrate as N
117,Nitrate as N
117,Nitrate as N
117,Nitrate as N
117,Nitrate as N
117,Nitrate as N
117,Nitrate as N
117,Nitrate as N
117,Nitrate as N
117,Nitrate as N
118,Nitrite as N
118,Nitrite as N
118,Nitrite as N
118,Nitrite as N
118,Nitrite as N
118,Nitrite as N
118,Nitrite as N
118,Nitrite as N
118,Nitrite as N
118,Nitrite as N
118,Nitrite as N
118,Nitrite as N
118,Nitrite as N
118,Nitrite as N
118,Nitrite as N
118,Nitrite as N
118,Nitrite as N
118,Nitrite as N
118,Nitrite as N
118,Nitrite as N
118,Nitrite as N
120,"Nitrogen, Total Oxidised : Dry Wt as N"
120,"Nitrogen, Total Oxidised : Dry Wt as N"
135,"Solids, Suspended at 105 C"
135,"Solids, Suspended at 105 C"
135,"Solids, Suspended at 105 C"
135,"Solids, Suspended at 105 C"
135,"Solids, Suspended at 105 C"
135,"Solids, Suspended at 105 C"
135,"Solids, Suspended at 105 C"
135,"Solids, Suspended at 105 C"
135,"Solids, Suspended at 105 C"
135,"Solids, Suspended at 105 C"
135,"Solids, Suspended at 105 C"
135,"Solids, Suspended at 105 C"
135,"Solids, Suspended at 105 C"
135,"Solids, Suspended at 105 C"
135,"Solids, Suspended at 105 C"
135,"Solids, Suspended at 105 C"
135,"Solids, Suspended at 105 C"
135,"Solids, Suspended at 105 C"
135,"Solids, Suspended at 105 C"
135,"Solids, Suspended at 105 C"
135,"Solids, Suspended at 105 C"
143,"Solids, non-volatile at 500 C"
143,"Solids, non-volatile at 500 C"
143,"Solids, non-volatile at 500 C"
143,"Solids, non-volatile at 500 C"
143,"Solids, non-volatile at 500 C"
143,"Solids, non-volatile at 500 C"
143,"Solids, non-volatile at 500 C"
143,"Solids, non-volatile at 500 C"
143,"Solids, non-volatile at 500 C"
143,"Solids, non-volatile at 500 C"
143,"Solids, non-volatile at 500 C"
143,"Solids, non-volatile at 500 C"
143,"Solids, non-volatile at 500 C"
143,"Solids, non-volatile at 500 C"
143,"Solids, non-volatile at 500 C"
143,"Solids, non-volatile at 500 C"
143,"Solids, non-volatile at 500 C"
143,"Solids, non-volatile at 500 C"
143,"Solids, non-volatile at 500 C"
152,Acidity to pH 4.5 as CaCO3
152,Acidity to pH 4.5 as CaCO3
152,Acidity to pH 4.5 as CaCO3
153,Alkalinity to pH 8.3 as CaCO3
153,Alkalinity to pH 8.3 as CaCO3
153,Alkalinity to pH 8.3 as CaCO3
153,Alkalinity to pH 8.3 as CaCO3
153,Alkalinity to pH 8.3 as CaCO3
153,Alkalinity to pH 8.3 as CaCO3
153,Alkalinity to pH 8.3 as CaCO3
153,Alkalinity to pH 8.3 as CaCO3
153,Alkalinity to pH 8.3 as CaCO3
153,Alkalinity to pH 8.3 as CaCO3
153,Alkalinity to pH 8.3 as CaCO3
158,"Hardness, Total as CaCO3"
158,"Hardness, Total as CaCO3"
158,"Hardness, Total as CaCO3"
159,Acidity to pH8.3 as CACO3
159,Acidity to pH8.3 as CACO3
159,Acidity to pH8.3 as CACO3
159,Acidity to pH8.3 as CACO3
159,Acidity to pH8.3 as CACO3
159,Acidity to pH8.3 as CACO3
159,Acidity to pH8.3 as CACO3
159,Acidity to pH8.3 as CACO3
159,Acidity to pH8.3 as CACO3
159,Acidity to pH8.3 as CACO3
159,Acidity to pH8.3 as CACO3
159,Acidity to pH8.3 as CACO3
159,Acidity to pH8.3 as CACO3
162,Alkalinity to pH 4.5 as CaCO3
162,Alkalinity to pH 4.5 as CaCO3
162,Alkalinity to pH 4.5 as CaCO3
162,Alkalinity to pH 4.5 as CaCO3
162,Alkalinity to pH 4.5 as CaCO3
162,Alkalinity to pH 4.5 as CaCO3
162,Alkalinity to pH 4.5 as CaCO3
162,Alkalinity to pH 4.5 as CaCO3
162,Alkalinity to pH 4.5 as CaCO3
162,Alkalinity to pH 4.5 as CaCO3
162,Alkalinity to pH 4.5 as CaCO3
162,Alkalinity to pH 4.5 as CaCO3
162,Alkalinity to pH 4.5 as CaCO3
162,Alkalinity to pH 4.5 as CaCO3
162,Alkalinity to pH 4.5 as CaCO3
162,Alkalinity to pH 4.5 as CaCO3
162,Alkalinity to pH 4.5 as CaCO3
162,Alkalinity to pH 4.5 as CaCO3
162,Alkalinity to pH 4.5 as CaCO3
162,Alkalinity to pH 4.5 as CaCO3
162,Alkalinity to pH 4.5 as CaCO3
166,Residual mass: after drying at 105 C
166,Residual mass: after drying at 105 C
166,Residual mass: after drying at 105 C
166,Residual mass: after drying at 105 C
166,Residual mass: after drying at 105 C
166,Residual mass: after drying at 105 C
166,Residual mass: after drying at 105 C
166,Residual mass: after drying at 105 C
166,Residual mass: after drying at 105 C
166,Residual mass: after drying at 105 C
166,Residual mass: after drying at 105 C
166,Residual mass: after drying at 105 C
166,Residual mass: after drying at 105 C
166,Residual mass: after drying at 105 C
167,Sulphide as S
167,Sulphide as S
167,Sulphide as S
167,Sulphide as S
167,Sulphide as S
167,Sulphide as S
167,Sulphide as S
167,Sulphide as S
167,Sulphide as S
167,Sulphide as S
167,Sulphide as S
167,Sulphide as S
167,Sulphide as S
167,Sulphide as S
167,Sulphide as S
167,Sulphide as S
167,Sulphide as S
167,Sulphide as S
167,Sulphide as S
167,Sulphide as S
171,Bromide
171,Bromide
172,Chloride
172,Chloride
172,Chloride
172,Chloride
172,Chloride
172,Chloride
172,Chloride
172,Chloride
172,Chloride
172,Chloride
172,Chloride
172,Chloride
172,Chloride
172,Chloride
172,Chloride
172,Chloride
172,Chloride
172,Chloride
172,Chloride
172,Chloride
172,Chloride
174,Cyanide : Free as CN
174,Cyanide : Free as CN
174,Cyanide : Free as CN
174,Cyanide : Free as CN
174,Cyanide : Free as CN
174,Cyanide : Free as CN
174,Cyanide : Free as CN
174,Cyanide : Free as CN
174,Cyanide : Free as CN
174,Cyanide : Free as CN
174,Cyanide : Free as CN
174,Cyanide : Free as CN
174,Cyanide : Free as CN
174,Cyanide : Free as CN
174,Cyanide : Free as CN
174,Cyanide : Free as CN
174,Cyanide : Free as CN
174,Cyanide : Free as CN
174,Cyanide : Free as CN
174,Cyanide : Free as CN
174,Cyanide : Free as CN
175,Cyanide as CN
175,Cyanide as CN
175,Cyanide as CN
175,Cyanide as CN
175,Cyanide as CN
175,Cyanide as CN
175,Cyanide as CN
175,Cyanide as CN
175,Cyanide as CN
175,Cyanide as CN
175,Cyanide as CN
175,Cyanide as CN
175,Cyanide as CN
175,Cyanide as CN
175,Cyanide as CN
175,Cyanide as CN
175,Cyanide as CN
175,Cyanide as CN
175,Cyanide as CN
175,Cyanide as CN
177,Fluoride
177,Fluoride
177,Fluoride
177,Fluoride
177,Fluoride
177,Fluoride
177,Fluoride
177,Fluoride
177,Fluoride
177,Fluoride
177,Fluoride
177,Fluoride
177,Fluoride
177,Fluoride
177,Fluoride
179,Iodide
179,Iodide
179,Iodide
180,"Orthophosphate, reactive as P"
180,"Orthophosphate, reactive as P"
180,"Orthophosphate, reactive as P"
180,"Orthophosphate, reactive as P"
180,"Orthophosphate, reactive as P"
180,"Orthophosphate, reactive as P"
180,"Orthophosphate, reactive as P"
180,"Orthophosphate, reactive as P"
180,"Orthophosphate, reactive as P"
180,"Orthophosphate, reactive as P"
180,"Orthophosphate, reactive as P"
180,"Orthophosphate, reactive as P"
180,"Orthophosphate, reactive as P"
180,"Orthophosphate, reactive as P"
180,"Orthophosphate, reactive as P"
180,"Orthophosphate, reactive as P"
180,"Orthophosphate, reactive as P"
180,"Orthophosphate, reactive as P"
180,"Orthophosphate, reactive as P"
180,"Orthophosphate, reactive as P"
180,"Orthophosphate, reactive as P"
182,"Silica, reactive as SiO2"
182,"Silica, reactive as SiO2"
182,"Silica, reactive as SiO2"
182,"Silica, reactive as SiO2"
182,"Silica, reactive as SiO2"
182,"Silica, reactive as SiO2"
182,"Silica, reactive as SiO2"
182,"Silica, reactive as SiO2"
182,"Silica, reactive as SiO2"
182,"Silica, reactive as SiO2"
182,"Silica, reactive as SiO2"
182,"Silica, reactive as SiO2"
182,"Silica, reactive as SiO2"
182,"Silica, reactive as SiO2"
182,"Silica, reactive as SiO2"
182,"Silica, reactive as SiO2"
182,"Silica, reactive as SiO2"
182,"Silica, reactive as SiO2"
182,"Silica, reactive as SiO2"
182,"Silica, reactive as SiO2"
183,Sulphate as SO4
183,Sulphate as SO4
183,Sulphate as SO4
183,Sulphate as SO4
183,Sulphate as SO4
183,Sulphate as SO4
183,Sulphate as SO4
183,Sulphate as SO4
183,Sulphate as SO4
183,Sulphate as SO4
183,Sulphate as SO4
183,Sulphate as SO4
183,Sulphate as SO4
183,Sulphate as SO4
183,Sulphate as SO4
183,Sulphate as SO4
183,Sulphate as SO4
183,Sulphate as SO4
183,Sulphate as SO4
183,Sulphate as SO4
183,Sulphate as SO4
184,"Sulphide, Dissolved as S"
184,"Sulphide, Dissolved as S"
184,"Sulphide, Dissolved as S"
184,"Sulphide, Dissolved as S"
184,"Sulphide, Dissolved as S"
184,"Sulphide, Dissolved as S"
184,"Sulphide, Dissolved as S"
184,"Sulphide, Dissolved as S"
185,Sulphite as SO3
185,Sulphite as SO3
185,Sulphite as SO3
185,Sulphite as SO3
185,Sulphite as SO3
186,Thiocyanate as CNS
186,Thiocyanate as CNS
188,Orthophosphate
188,Orthophosphate
188,Orthophosphate
188,Orthophosphate
188,Orthophosphate
188,Orthophosphate
191,"Orthophosphate, Dissolved"
191,"Orthophosphate, Dissolved"
191,"Orthophosphate, Dissolved"
191,"Orthophosphate, Dissolved"
191,"Orthophosphate, Dissolved"
191,"Orthophosphate, Dissolved"
191,"Orthophosphate, Dissolved"
192,Phosphate :- {TIP}
192,Phosphate :- {TIP}
192,Phosphate :- {TIP}
192,Phosphate :- {TIP}
192,Phosphate :- {TIP}
192,Phosphate :- {TIP}
192,Phosphate :- {TIP}
192,Phosphate :- {TIP}
192,Phosphate :- {TIP}
192,Phosphate :- {TIP}
192,Phosphate :- {TIP}
192,Phosphate :- {TIP}
192,Phosphate :- {TIP}
192,Phosphate :- {TIP}
192,Phosphate :- {TIP}
192,Phosphate :- {TIP}
192,Phosphate :- {TIP}
204,Lithium : Dry Wt
204,Lithium : Dry Wt
204,Lithium : Dry Wt
204,Lithium : Dry Wt
204,Lithium : Dry Wt
204,Lithium : Dry Wt
204,Lithium : Dry Wt
204,Lithium : Dry Wt
204,Lithium : Dry Wt
204,Lithium : Dry Wt
204,Lithium : Dry Wt
205,"Sodium, Dissolved"
205,"Sodium, Dissolved"
205,"Sodium, Dissolved"
205,"Sodium, Dissolved"
205,"Sodium, Dissolved"
205,"Sodium, Dissolved"
205,"Sodium, Dissolved"
205,"Sodium, Dissolved"
205,"Sodium, Dissolved"
205,"Sodium, Dissolved"
205,"Sodium, Dissolved"
205,"Sodium, Dissolved"
205,"Sodium, Dissolved"
205,"Sodium, Dissolved"
205,"Sodium, Dissolved"
205,"Sodium, Dissolved"
205,"Sodium, Dissolved"
205,"Sodium, Dissolved"
205,"Sodium, Dissolved"
205,"Sodium, Dissolved"
205,"Sodium, Dissolved"
207,Sodium
207,Sodium
207,Sodium
207,Sodium
207,Sodium
207,Sodium
207,Sodium
207,Sodium
207,Sodium
207,Sodium
207,Sodium
207,Sodium
207,Sodium
207,Sodium
207,Sodium
207,Sodium
207,Sodium
207,Sodium
207,Sodium
207,Sodium
207,Sodium
208,Sodium : Dry Wt
208,Sodium : Dry Wt
208,Sodium : Dry Wt
208,Sodium : Dry Wt
208,Sodium : Dry Wt
208,Sodium : Dry Wt
209,"Potassium, Dissolved"
209,"Potassium, Dissolved"
209,"Potassium, Dissolved"
209,"Potassium, Dissolved"
209,"Potassium, Dissolved"
209,"Potassium, Dissolved"
209,"Potassium, Dissolved"
209,"Potassium, Dissolved"
209,"Potassium, Dissolved"
209,"Potassium, Dissolved"
209,"Potassium, Dissolved"
209,"Potassium, Dissolved"
209,"Potassium, Dissolved"
209,"Potassium, Dissolved"
209,"Potassium, Dissolved"
209,"Potassium, Dissolved"
209,"Potassium, Dissolved"
209,"Potassium, Dissolved"
209,"Potassium, Dissolved"
209,"Potassium, Dissolved"
209,"Potassium, Dissolved"
211,Potassium
211,Potassium
211,Potassium
211,Potassium
211,Potassium
211,Potassium
211,Potassium
211,Potassium
211,Potassium
211,Potassium
211,Potassium
211,Potassium
211,Potassium
211,Potassium
211,Potassium
211,Potassium
211,Potassium
211,Potassium
211,Potassium
211,Potassium
211,Potassium
212,Potassium : Dry Wt
212,Potassium : Dry Wt
212,Potassium : Dry Wt
212,Potassium : Dry Wt
212,Potassium : Dry Wt
212,Potassium : Dry Wt
