station_number,station_name,station_type,easting,northing,ngr,local_authority,sampling_datetime,sampling_reason,reason_group,sampling_medium,sampling_mechanism,parameter_shortname,parameter_name,sample_value,coded_value,unit_symbol,method_name,sampling_year
S10003,GWRELYCH ABV NEATH PONT WALBY,FRESHWATER - UNSPECIFIED,288898,206608,SN8889806608,CASTELL-NEDD PORT TALBOT- NEATH PORT TALBOT,2023-06-15 12:56:49,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),Planned environmental monitoring,RIVER / RUNNING SURFACE WATER,SPOT,162,Alkalinity to pH 4.5 as CaCO3,150.0,,mg/l,Low,2023
S10003,GWRELYCH ABV NEATH PONT WALBY,FRESHWATER - UNSPECIFIED,288898,206608,SN8889806608,CASTELL-NEDD PORT TALBOT- NEATH PORT TALBOT,2023-06-15 12:56:49,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),Planned environmental monitoring,RIVER / RUNNING SURFACE WATER,SPOT,211,Potassium,25.6,,mg/l,Low,2023
S10003,GWRELYCH ABV NEATH PONT WALBY,FRESHWATER - UNSPECIFIED,288898,206608,SN8889806608,CASTELL-NEDD PORT TALBOT- NEATH PORT TALBOT,2023-06-15 12:56:49,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),Planned environmental monitoring,RIVER / RUNNING SURFACE WATER,SPOT,7610,Alkalinity to pH 4.5 : Grans Plot,417.0,,mg/l,Low,2023
S10003,GWRELYCH ABV NEATH PONT WALBY,FRESHWATER - UNSPECIFIED,288898,206608,SN8889806608,CASTELL-NEDD PORT TALBOT- NEATH PORT TALBOT,2023-06-15 12:56:49,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),Planned environmental monitoring,RIVER / RUNNING SURFACE WATER,SPOT,241,Calcium,48.9,,mg/l,Low,2023
S10003,GWRELYCH ABV NEATH PONT WALBY,FRESHWATER - UNSPECIFIED,288898,206608,SN8889806608,CASTELL-NEDD PORT TALBOT- NEATH PORT TALBOT,2023-06-15 12:56:49,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),Planned environmental monitoring,RIVER / RUNNING SURFACE WATER,SPOT,237,Magnesium,67.4,,mg/l,Low,2023
S10003,GWRELYCH ABV NEATH PONT WALBY,FRESHWATER - UNSPECIFIED,288898,206608,SN8889806608,CASTELL-NEDD PORT TALBOT- NEATH PORT TALBOT,2023-06-15 12:56:49,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),Planned environmental monitoring,RIVER / RUNNING SURFACE WATER,SPOT,207,Sodium,74.4,,mg/l,Low,2023
S10003,GWRELYCH ABV NEATH PONT WALBY,FRESHWATER - UNSPECIFIED,288898,206608,SN8889806608,CASTELL-NEDD PORT TALBOT- NEATH PORT TALBOT,2023-06-15 12:56:49,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),Planned environmental monitoring,RIVER / RUNNING SURFACE WATER,SPOT,3169,pH : In Situ,8.57,,scalar,Field,2023
S10003,GWRELYCH ABV NEATH PONT WALBY,FRESHWATER - UNSPECIFIED,288898,206608,SN8889806608,CASTELL-NEDD PORT TALBOT- NEATH PORT TALBOT,2023-06-15 12:56:49,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),Planned environmental monitoring,RIVER / RUNNING SURFACE WATER,SPOT,77,Conductivity at 25 C,982.0,,µS/cm,Field,2023
S10003,GWRELYCH ABV NEATH PONT WALBY,FRESHWATER - UNSPECIFIED,288898,206608,SN8889806608,CASTELL-NEDD PORT TALBOT- NEATH PORT TALBOT,2023-09-21 13:07:37,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),Planned environmental monitoring,RIVER / RUNNING SURFACE WATER,SPOT,118,Nitrite as N,0.0053,,mg/l,Low,2023
S10003,GWRELYCH ABV NEATH PONT WALBY,FRESHWATER - UNSPECIFIED,288898,206608,SN8889806608,CASTELL-NEDD PORT TALBOT- NEATH PORT TALBOT,2023-09-21 13:07:37,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),Planned environmental monitoring,RIVER / RUNNING SURFACE WATER,SPOT,111,Ammoniacal Nitrogen as N,0.0098,,mg/l,Low,2023
S10003,GWRELYCH ABV NEATH PONT WALBY,FRESHWATER - UNSPECIFIED,288898,206608,SN8889806608,CASTELL-NEDD PORT TALBOT- NEATH PORT TALBOT,2023-09-21 13:07:37,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),Planned environmental monitoring,RIVER / RUNNING SURFACE WATER,SPOT,116,"Nitrogen, Total Oxidised as N",0.29,,mg/l,Low,2023
S10003,GWRELYCH ABV NEATH PONT WALBY,FRESHWATER - UNSPECIFIED,288898,206608,SN8889806608,CASTELL-NEDD PORT TALBOT- NEATH PORT TALBOT,2023-09-21 13:07:37,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),Planned environmental monitoring,RIVER / RUNNING SURFACE WATER,SPOT,9686,"Nitrogen, Total as N",0.685,,mg/l,Low,2023
S10003,GWRELYCH ABV NEATH PONT WALBY,FRESHWATER - UNSPECIFIED,288898,206608,SN8889806608,CASTELL-NEDD PORT TALBOT- NEATH PORT TALBOT,2023-09-21 13:07:37,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),Planned environmental monitoring,RIVER / RUNNING SURFACE WATER,SPOT,207,Sodium,10.8,,mg/l,Low,2023
S10003,GWRELYCH ABV NEATH PONT WALBY,FRESHWATER - UNSPECIFIED,288898,206608,SN8889806608,CASTELL-NEDD PORT TALBOT- NEATH PORT TALBOT,2023-09-21 13:07:37,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),Planned environmental monitoring,RIVER / RUNNING SURFACE WATER,SPOT,9901,"Oxygen, Dissolved, % Saturation",100.4,,%,Field,2023
S10003,GWRELYCH ABV NEATH PONT WALBY,FRESHWATER - UNSPECIFIED,288898,206608,SN8889806608,CASTELL-NEDD PORT TALBOT- NEATH PORT TALBOT,2023-09-21 13:07:37,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),Planned environmental monitoring,RIVER / RUNNING SURFACE WATER,SPOT,7610,Alkalinity to pH 4.5 : Grans Plot,105.0,,mg/l,Low,2023
S10003,GWRELYCH ABV NEATH PONT WALBY,FRESHWATER - UNSPECIFIED,288898,206608,SN8889806608,CASTELL-NEDD PORT TALBOT- NEATH PORT TALBOT,2023-09-21 13:07:37,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),Planned environmental monitoring,RIVER / RUNNING SURFACE WATER,SPOT,162,Alkalinity to pH 4.5 as CaCO3,106.0,,mg/l,Low,2023
S10003,GWRELYCH ABV NEATH PONT WALBY,FRESHWATER - UNSPECIFIED,288898,206608,SN8889806608,CASTELL-NEDD PORT TALBOT- NEATH PORT TALBOT,2023-09-21 13:07:37,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),Planned environmental monitoring,RIVER / RUNNING SURFACE WATER,SPOT,76,Temperature of Water,12.7,,°C,Field,2023
S10003,GWRELYCH ABV NEATH PONT WALBY,FRESHWATER - UNSPECIFIED,288898,206608,SN8889806608,CASTELL-NEDD PORT TALBOT- NEATH PORT TALBOT,2023-09-21 13:07:37,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),Planned environmental monitoring,RIVER / RUNNING SURFACE WATER,SPOT,241,Calcium,16.1,,mg/l,Low,2023
S10003,GWRELYCH ABV NEATH PONT WALBY,FRESHWATER - UNSPECIFIED,288898,206608,SN8889806608,CASTELL-NEDD PORT TALBOT- NEATH PORT TALBOT,2023-09-21 13:07:37,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),Planned environmental monitoring,RIVER / RUNNING SURFACE WATER,SPOT,237,Magnesium,20.9,,mg/l,Low,2023
S10003,GWRELYCH ABV NEATH PONT WALBY,FRESHWATER - UNSPECIFIED,288898,206608,SN8889806608,CASTELL-NEDD PORT TALBOT- NEATH PORT TALBOT,2023-09-21 13:07:37,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),Planned environmental monitoring,RIVER / RUNNING SURFACE WATER,SPOT,77,Conductivity at 25 C,291.5,,µS/cm,Field,2023
S10003,GWRELYCH ABV NEATH PONT WALBY,FRESHWATER - UNSPECIFIED,288898,206608,SN8889806608,CASTELL-NEDD PORT TALBOT- NEATH PORT TALBOT,2023-09-21 13:07:37,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),Planned environmental monitoring,RIVER / RUNNING SURFACE WATER,SPOT,183,Sulphate as SO4,35.2,,mg/l,Low,2023
S10003,GWRELYCH ABV NEATH PONT WALBY,FRESHWATER - UNSPECIFIED,288898,206608,SN8889806608,CASTELL-NEDD PORT TALBOT- NEATH PORT TALBOT,2023-09-21 13:07:37,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),Planned environmental monitoring,RIVER / RUNNING SURFACE WATER,SPOT,172,Chloride,4.15,,mg/l,Low,2023
S10003,GWRELYCH ABV NEATH PONT WALBY,FRESHWATER - UNSPECIFIED,288898,206608,SN8889806608,CASTELL-NEDD PORT TALBOT- NEATH PORT TALBOT,2023-09-21 13:07:37,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),Planned environmental monitoring,RIVER / RUNNING SURFACE WATER,SPOT,301,"Carbon, Organic, Dissolved as C :- {DOC}",4.8,,mg/l,Low,2023
S10003,GWRELYCH ABV NEATH PONT WALBY,FRESHWATER - UNSPECIFIED,288898,206608,SN8889806608,CASTELL-NEDD PORT TALBOT- NEATH PORT TALBOT,2023-09-21 13:07:37,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),Planned environmental monitoring,RIVER / RUNNING SURFACE WATER,SPOT,211,Potassium,5.96,,mg/l,Low,2023
S10003,GWRELYCH ABV NEATH PONT WALBY,FRESHWATER - UNSPECIFIED,288898,206608,SN8889806608,CASTELL-NEDD PORT TALBOT- NEATH PORT TALBOT,2023-09-21 13:07:37,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),Planned environmental monitoring,RIVER / RUNNING SURFACE WATER,SPOT,3169,pH : In Situ,8.42,,scalar,Field,2023
S10003,GWRELYCH ABV NEATH PONT WALBY,FRESHWATER - UNSPECIFIED,288898,206608,SN8889806608,CASTELL-NEDD PORT TALBOT- NEATH PORT TALBOT,2023-09-21 13:07:37,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),Planned environmental monitoring,RIVER / RUNNING SURFACE WATER,SPOT,180,"Orthophosphate, reactive as P",0.004,,mg/l,Low,2023
S10037,PONTNEDDFECHAN STW,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,290340,207519,SN9034007519,POWYS-POWYS,2023-05-22 09:08:00,WATER QUALITY OPERATOR SELF MONITORING COMPLIANCE DATA,Compliance monitoring,FINAL SEWAGE EFFLUENT,SPOT,76,Temperature of Water,15.1,,°C,Externally Supplied Data,2023
S10037,PONTNEDDFECHAN STW,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,290340,207519,SN9034007519,POWYS-POWYS,2023-05-22 09:08:00,WATER QUALITY OPERATOR SELF MONITORING COMPLIANCE DATA,Compliance monitoring,FINAL SEWAGE EFFLUENT,SPOT,61,pH,6.8,,scalar,Externally Supplied Data,2023
S10037,PONTNEDDFECHAN STW,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,290340,207519,SN9034007519,POWYS-POWYS,2023-05-22 09:08:00,WATER QUALITY OPERATOR SELF MONITORING COMPLIANCE DATA,Compliance monitoring,FINAL SEWAGE EFFLUENT,SPOT,85,BOD : 5 Day ATU,4.0,,mg/l,Externally Supplied Data,2023
S10037,PONTNEDDFECHAN STW,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,290340,207519,SN9034007519,POWYS-POWYS,2023-05-22 09:08:00,WATER QUALITY OPERATOR SELF MONITORING COMPLIANCE DATA,Compliance monitoring,FINAL SEWAGE EFFLUENT,SPOT,135,"Solids, Suspended at 105 C",5.0,,mg/l,Externally Supplied Data,2023
S10037,PONTNEDDFECHAN STW,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,290340,207519,SN9034007519,POWYS-POWYS,2023-06-13 10:59:00,WATER QUALITY OPERATOR SELF MONITORING COMPLIANCE DATA,Compliance monitoring,FINAL SEWAGE EFFLUENT,SPOT,76,Temperature of Water,19.2,,°C,Externally Supplied Data,2023
S10037,PONTNEDDFECHAN STW,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,290340,207519,SN9034007519,POWYS-POWYS,2023-06-13 10:59:00,WATER QUALITY OPERATOR SELF MONITORING COMPLIANCE DATA,Compliance monitoring,FINAL SEWAGE EFFLUENT,SPOT,85,BOD : 5 Day ATU,4.0,,mg/l,Externally Supplied Data,2023
S10037,PONTNEDDFECHAN STW,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,290340,207519,SN9034007519,POWYS-POWYS,2023-06-13 10:59:00,WATER QUALITY OPERATOR SELF MONITORING COMPLIANCE DATA,Compliance monitoring,FINAL SEWAGE EFFLUENT,SPOT,61,pH,6.9,,scalar,Externally Supplied Data,2023
S10037,PONTNEDDFECHAN STW,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,290340,207519,SN9034007519,POWYS-POWYS,2023-06-13 10:59:00,WATER QUALITY OPERATOR SELF MONITORING COMPLIANCE DATA,Compliance monitoring,FINAL SEWAGE EFFLUENT,SPOT,135,"Solids, Suspended at 105 C",5.0,,mg/l,Externally Supplied Data,2023
S10037,PONTNEDDFECHAN STW,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,290340,207519,SN9034007519,POWYS-POWYS,2023-07-12 08:32:00,WATER QUALITY OPERATOR SELF MONITORING COMPLIANCE DATA,Compliance monitoring,FINAL SEWAGE EFFLUENT,SPOT,76,Temperature of Water,16.1,,°C,Externally Supplied Data,2023
S10037,PONTNEDDFECHAN STW,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,290340,207519,SN9034007519,POWYS-POWYS,2023-07-12 08:32:00,WATER QUALITY OPERATOR SELF MONITORING COMPLIANCE DATA,Compliance monitoring,FINAL SEWAGE EFFLUENT,SPOT,85,BOD : 5 Day ATU,4.0,,mg/l,Externally Supplied Data,2023
S10037,PONTNEDDFECHAN STW,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,290340,207519,SN9034007519,POWYS-POWYS,2023-07-12 08:32:00,WATER QUALITY OPERATOR SELF MONITORING COMPLIANCE DATA,Compliance monitoring,FINAL SEWAGE EFFLUENT,SPOT,61,pH,7.1,,scalar,Externally Supplied Data,2023
S10037,PONTNEDDFECHAN STW,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,290340,207519,SN9034007519,POWYS-POWYS,2023-07-12 08:32:00,WATER QUALITY OPERATOR SELF MONITORING COMPLIANCE DATA,Compliance monitoring,FINAL SEWAGE EFFLUENT,SPOT,135,"Solids, Suspended at 105 C",5.0,,mg/l,Externally Supplied Data,2023
S10037,PONTNEDDFECHAN STW,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,290340,207519,SN9034007519,POWYS-POWYS,2023-08-09 13:20:00,WATER QUALITY OPERATOR SELF MONITORING COMPLIANCE DATA,Compliance monitoring,FINAL SEWAGE EFFLUENT,SPOT,76,Temperature of Water,16.6,,°C,Externally Supplied Data,2023
S10037,PONTNEDDFECHAN STW,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,290340,207519,SN9034007519,POWYS-POWYS,2023-08-09 13:20:00,WATER QUALITY OPERATOR SELF MONITORING COMPLIANCE DATA,Compliance monitoring,FINAL SEWAGE EFFLUENT,SPOT,61,pH,7.1,,scalar,Externally Supplied Data,2023
S10037,PONTNEDDFECHAN STW,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,290340,207519,SN9034007519,POWYS-POWYS,2023-08-09 13:20:00,WATER QUALITY OPERATOR SELF MONITORING COMPLIANCE DATA,Compliance monitoring,FINAL SEWAGE EFFLUENT,SPOT,85,BOD : 5 Day ATU,4.0,,mg/l,Externally Supplied Data,2023
